Unnamed: 0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,Total,Point,Score
Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Very Good,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Good,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Poor,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Very Poor,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Total,0,0,0,0,0,0,0,0,0,0,0,0,,,0
