Unnamed: 0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,Total,Point,Score
Excellent,2,2,1,1,0,1,0,1,1,2,1,1,13.0,5.0,65.0
Very Good,0,0,1,1,2,0,1,1,0,0,0,1,7.0,4.0,28.0
Good,0,0,0,0,0,0,0,0,1,0,1,0,2.0,3.0,6.0
Poor,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0
Very Poor,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1.0,2.0
Total,2,2,2,2,2,2,2,2,2,2,2,2,,,101.0
