Unnamed: 0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,Total,Point,Score
Excellent,2,2,2,1,1,2,2,2,2,2,2,2,22.0,5.0,110.0
Very Good,0,0,0,1,1,0,0,0,0,0,0,0,2.0,4.0,8.0
Good,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0
Poor,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0
Very Poor,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0
Total,2,2,2,2,2,2,2,2,2,2,2,2,,,118.0
